Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.04,1110.58,0.02,0.04,812.89,0.02
Random Forest,0.03,992.71,0.17,0.04,725.97,0.13
XGBoost,0.03,1014.81,0.16,0.04,740.85,0.12
