Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.02,32.43,0.1,0.02,33.4,0.11
Random Forest,0.01,15.54,0.77,0.02,22.23,0.55
XGBoost,0.01,13.44,0.8,0.01,21.77,0.53
