Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,183.3,0.29,0.0,189.18,0.3
Random Forest,0.0,77.7,0.84,0.0,104.61,0.69
XGBoost,0.0,118.68,0.76,0.0,126.19,0.64
