Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,36.01,0.51,0.0,37.0,0.49
Random Forest,0.0,18.53,0.86,0.0,26.6,0.74
XGBoost,0.0,15.63,0.92,0.0,25.3,0.77
