Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.01,44.91,0.13,0.01,43.67,0.12
Random Forest,0.0,15.62,0.85,0.0,21.69,0.68
XGBoost,0.0,12.06,0.88,0.0,20.44,0.7
