Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,219.35,0.11,0.0,210.31,0.1
Random Forest,0.0,72.68,0.76,0.0,98.06,0.46
XGBoost,0.0,83.84,0.73,0.0,105.24,0.45
