Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,182.12,0.29,0.0,187.83,0.3
Random Forest,0.0,77.69,0.84,0.0,104.59,0.69
XGBoost,0.0,116.69,0.77,0.0,124.71,0.64
