Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.56,172.54,0.44,0.56,218.12,0.44
Random Forest,0.15,57.42,0.95,0.21,112.67,0.91
XGBoost,0.14,47.94,0.96,0.2,113.54,0.92
