Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.01,48.78,0.16,0.01,49.03,0.16
Random Forest,0.0,16.14,0.85,0.01,20.81,0.73
XGBoost,0.0,12.42,0.9,0.01,18.95,0.75
