Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,inf,0.05,0.0,25.73,0.05
Random Forest,0.0,inf,0.66,0.0,18.99,0.42
XGBoost,0.0,inf,0.51,0.0,20.65,0.33
