dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,water_ert_min_time,water_ert_max_time,water_data_availability,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,egauge_1s_min_time,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,energy_storage_system,energy_storage_system_l1,energy_storage_system_l2
1101,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,yes,South;West,6.25,3.0,3.25,,2011-02-01,2013-04-27,2008,2650.0,1650.0,1000.0,0.0,,,yes,"",yes,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8872,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Control,,,Austin,Texas,yes,South;West,5.5,2.25,3.25,,2011-02-01,2013-06-10,2008,1425.0,1425.0,0.0,0.0,,,yes,"",yes,yes,"","","","",,,,,,,,,,,2012-05-02 01:00:00-05,2013-06-10 00:59:00-05,100%,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,
1464,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Control,,,Austin,Texas,yes,South;West,3.3,1.65,1.65,,2011-02-01,2014-03-06,2007,2350.0,1375.0,950.0,0.0,,,yes,"",yes,yes,"","","","",,,,,2012-04-13 09:26:26-05,2014-02-06 23:53:33-06,75%,2012-05-01 13:00:00-05,2019-10-18 06:49:00-05,6%,2012-10-19 19:00:00-05,2014-03-05 17:59:00-06,100%,,,,yes,,,,,,,yes,yes,yes,,,,,,,yes,,,,yes,yes,,yes,,,,,,yes,,,,,,,,,yes,,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,,yes,,,yes,,yes,,,,,,,,,,
3824,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Text Message,,,Austin,Texas,yes,South;West,6.37,,3.185,,2011-02-01,2014-04-01,2009,2000.0,1425.0,575.0,0.0,,,yes,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,yes,,,,,,2011-02-01,2014-04-07,2008,3250.0,1525.0,1725.0,0.0,,,yes,"","","","","","","",,,,,2012-04-11 18:59:58-05,2013-05-10 16:29:46-05,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Pricing Trial,,,Austin,Texas,yes,,,,,,2011-02-01,2014-04-07,2009,3250.0,1775.0,1475.0,0.0,,,yes,"",yes,"",yes,"","","",,,,,2012-04-11 18:59:52-05,2013-05-10 16:26:10-05,99%,,,,2013-04-16 00:00:00-05,2014-04-06 18:56:00-05,58%,,,,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,,yes,yes,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,yes,,,,,yes,,,,,,,
5839,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,yes,,7.0,,,,2011-02-01,2014-04-30,2009,2075.0,1025.0,1025.0,0.0,,,yes,"",yes,"",yes,"","","",,,,,2012-04-11 18:59:53-05,2013-05-10 16:29:18-05,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Control,,,Austin,Texas,,,,,,,2011-02-01,2014-05-01,2007,3250.0,1525.0,1725.0,0.0,,,yes,"",yes,yes,"","","","",,,,,2012-04-11 18:59:03-05,2013-05-10 16:22:47-05,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8597,,Single-Family Home 001 (Master),,yes,yes,,,CCET - UT Text,,,Austin,Texas,yes,West,5.635,,5.635,,2011-02-01,2014-10-31,2008,2125.0,1150.0,950.0,0.0,,,yes,"",yes,"","","","","",,,,,2012-04-11 18:59:53-05,2013-05-10 16:28:22-05,100%,,,,2012-10-26 19:00:00-05,2014-10-21 18:59:00-05,99%,,,,yes,,,,,,,yes,,,,,,,,,yes,,yes,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,yes,,,,,,,,,,,,
7982,,Single-Family Home 001 (Master),,yes,yes,yes,,CCET - Pricing Trial,,,Austin,Texas,yes,South;West,3.885,1.295,2.59,,2011-02-01,2014-11-15,2007,1725.0,1725.0,0.0,0.0,,,yes,yes,yes,"",yes,"","","",,2014-02-21 11:04:00-06,2014-11-14 14:59:00-06,90%,2012-04-11 18:59:57-05,2014-11-14 23:59:42-06,75%,2012-05-01 13:00:00-05,2014-11-14 23:56:22.783059-06,22%,2013-02-22 18:00:00-06,2014-11-13 17:59:00-06,94%,,,,yes,,,,,,,yes,,,,,,yes,,,yes,,yes,,yes,yes,yes,yes,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,,yes,,yes,,,yes,,,,,,,
7057,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,,,,,,,2011-02-01,2015-02-13,2009,1725.0,1725.0,0.0,0.0,,,yes,"",yes,yes,yes,yes,"","",,,,,2012-04-11 18:59:45-05,2015-01-31 12:56:35-06,40%,,,,2014-06-06 19:00:00-05,2015-01-09 17:59:00-06,100%,,,,yes,,,,,yes,,,,,,,,yes,,,yes,,,,yes,yes,yes,,,yes,,yes,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,,,,yes,,,yes,,,,,,,
3192,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Pricing Trial,,,Austin,Texas,yes,South;West,6.105,4.07,2.035,,2011-02-01,2016-07-29,2008,2075.0,2075.0,0.0,0.0,,,yes,yes,yes,"","","","","",,,,,2012-04-11 18:59:39-05,2013-05-10 16:29:25-05,99%,2016-01-17 00:00:00-06,2016-07-26 06:16:00-05,77%,2012-05-22 01:00:00-05,2016-07-17 05:59:00-05,99%,,,,yes,,,,,yes,,,,,,,,yes,,,yes,,,,yes,yes,,yes,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,yes,,,,,yes,,,,,,,
