Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,65.62,0.18,0.0,66.35,0.19
Random Forest,0.0,33.05,0.75,0.0,48.08,0.47
XGBoost,0.0,38.74,0.7,0.0,50.19,0.45
