Model,Train_MAE,Train_MAPE (%),Train_R2,Test_MAE,Test_MAPE (%),Test_R2
Linear Regression,0.0,inf,0.01,0.0,inf,0.0
Random Forest,0.0,inf,0.01,0.0,inf,0.0
XGBoost,0.0,inf,0.01,0.0,inf,0.0
